"from","to"
"Action","action"
"Actor","actor"
"additionalProperties","additional_properties"
"Addr","addr"
"Address","address"
"Aliases","aliases"
"all","all"
"AllowNondistributableArtifactsCIDRs","allow_nondistributable_artifacts_cidrs"
"AllowNondistributableArtifactsHostnames","allow_nondistributable_artifacts_hostnames"
"ApiVersion","api_version"
"AppArmorProfile","app_armor_profile"
"Arch","arch"
"Architecture","architecture"
"Args","args"
"ArgsEscaped","args_escaped"
"arguments","arguments"
"Attachable","attachable"
"AttachStderr","attach_stderr"
"AttachStdin","attach_stdin"
"AttachStdout","attach_stdout"
"Attributes","attributes"
"author","author"
"Author","author"
"Authorization","authorization"
"AutoLockManagers","auto_lock_managers"
"AutoRemove","auto_remove"
"BaseLayer","base_layer"
"BindOptions","bind_options"
"Binds","binds"
"BlkioDeviceReadBps","blkio_device_read_bps"
"BlkioDeviceReadIOps","blkio_device_read_iops"
"BlkioDeviceWriteBps","blkio_device_write_bps"
"BlkioDeviceWriteIOps","blkio_device_write_iops"
"BlkioWeight","blkio_weight"
"BlkioWeightDevice","blkio_weight_device"
"Bridge","bridge"
"BridgeNfIp6tables","bridge_nf_ip6tables"
"BridgeNfIptables","bridge_nf_iptables"
"buildargs","buildargs"
"BuildTime","build_time"
"CACert","ca_cert"
"cachefrom","cachefrom"
"CAConfig","ca_config"
"CapAdd","cap_add"
"CapDrop","cap_drop"
"CertIssuerPublicKey","cert_issuer_public_key"
"CertIssuerSubject","cert_issuer_subject"
"Cgroup","cgroup"
"CgroupDriver","cgroup_driver"
"CgroupParent","cgroup_parent"
"CgroupPermissions","cgroup_permissions"
"changes","changes"
"CheckDuplicate","check_duplicate"
"Cluster","cluster"
"ClusterAdvertise","cluster_advertise"
"ClusterStore","cluster_store"
"Cmd","cmd"
"Command","command"
"comment","comment"
"Comment","comment"
"condition","condition"
"Config","config"
"Consistency","consistency"
"ConsoleSize","console_size"
"container","container"
"Container","container"
"ContainerConfig","container_config"
"ContainerdCommit","containerd_commit"
"ContainerID","container_id"
"ContainerIDFile","container_idfile"
"Containers","containers"
"ContainersDeleted","containers_deleted"
"ContainersPaused","containers_paused"
"ContainersRunning","containers_running"
"ContainersStopped","containers_stopped"
"content_type","content_type"
"ControlAvailable","control_available"
"CpuCfsPeriod","cpu_cfs_period"
"CpuCfsQuota","cpu_cfs_quota"
"CpuCount","cpu_count"
"CpuPercent","cpu_percent"
"cpuperiod","cpuperiod"
"CpuPeriod","cpu_period"
"cpuquota","cpuquota"
"CpuQuota","cpu_quota"
"CpuRealtimePeriod","cpu_realtime_period"
"CpuRealtimeRuntime","cpu_realtime_runtime"
"CPUSet","cpu_set"
"cpusetcpus","cpusetcpus"
"CpusetCpus","cpuset_cpus"
"CpusetMems","cpuset_mems"
"cpushares","cpushares"
"CpuShares","cpu_shares"
"CPUShares","cpu_shares"
"Created","created"
"CreatedAt","created_at"
"CreatedBy","created_by"
"Data","data"
"Dead","dead"
"Debug","debug"
"DefaultRuntime","default_runtime"
"Deleted","deleted"
"description","description"
"Destination","destination"
"Detach","detach"
"detachKeys","detach_keys"
"DetachKeys","detach_keys"
"DeviceCgroupRules","device_cgroup_rules"
"Devices","devices"
"digests","digests"
"DiscoveryBackend","discovery_backend"
"DiscreteResourceSpec","discrete_resource_spec"
"DiskQuota","disk_quota"
"Dispatcher","dispatcher"
"Dns","dns"
"DnsOptions","dns_options"
